0.02315 0.05735
0.04728 0.08462
0.07167 0.10331
0.09617 0.1189
0.14543 0.14188
0.19501 0.15488
0.29457 0.16879
0.39462 0.16701
0.495 0.15524
0.59561 0.13648
0.69644 0.11063
0.79747 0.07868
0.89862 0.04274
0.94928 0.02237
1.0 0.002
0.0 0.0
0.01299 -0.01528
0.02563 -0.01957
0.05072 -0.02237
0.07578 -0.02426
0.10083 -0.02585
0.1509 -0.02784
0.20089 -0.02773
0.30063 -0.01952
0.40016 -0.00482
0.49958 0.01309
0.59905 0.02949
0.69885 0.0357
0.79893 0.03333
0.8993599 0.01996
0.94971 0.00888
1.0 -0.002
